,Databases,BA_K,BA_BS,BA_CN
0,spect.mat,0.6386147186147186,0.646448051948052,0.6464870129870129
1,Banknote.mat,0.8620745744764295,0.8603326031173314,0.9785514830294814
2,liver.mat,0.6184455489512878,0.5461264902302384,0.5608940740930519
3,vertebral.mat,0.6350238095238095,0.6177619047619048,0.7845714285714285
4,diabetic.mat,0.574084062910081,0.6005782262961004,0.6086709951622697
5,sonar.mat,0.8769671717171719,0.8507373737373738,0.863979797979798
6,spectf.mat,0.678409090909091,0.584017316017316,0.6637835497835498
7,Musk.mat,0.8852022792022792,0.8587188644688645,0.8295001017501017
8,Immunotherapy.mat,0.5217857142857143,0.5427678571428572,0.5522321428571428
9,Cryotherapy.mat,0.79325,0.8005000000000001,0.79175
