,Databases,BA_K,BA_BS,BA_CN
0,spect.mat,0.7335281385281385,0.7458398268398269,0.743978354978355
1,Banknote.mat,0.7511202979505395,0.7518282106159586,0.8477541795995205
2,liver.mat,0.5033831215412994,0.5164510743321719,0.5097863291658127
3,vertebral.mat,0.6543571428571429,0.6568809523809525,0.7457619047619046
4,diabetic.mat,0.5987092857002957,0.5948624576453768,0.6100575337368039
5,sonar.mat,0.7764621212121212,0.7477171717171718,0.7764545454545455
6,spectf.mat,0.6447337662337662,0.5536601731601731,0.6329891774891775
7,Musk.mat,0.7854590964590965,0.7102347374847374,0.6730942205942206
8,Immunotherapy.mat,0.5623214285714285,0.5,0.5
9,Cryotherapy.mat,0.8172500000000001,0.8049999999999999,0.8067499999999999
