,K,balanced_accuracy
0,1,0.979322986116558
1,2,0.9740408491422295
2,3,0.9794882651860648
3,4,0.9758281741985366
4,5,0.974982127449772
5,6,0.970093984962406
6,7,0.9728618631153143
7,8,0.9701106109162623
8,9,0.9695656942281188
9,10,0.9659747263090661
10,11,0.9675663077216141
11,12,0.9649798443575406
12,13,0.966303771724393
13,14,0.9626968501731229
14,15,0.9620080426476028
15,16,0.9573116378875655
16,17,0.9554053679280166
17,18,0.9532415987808568
18,19,0.9504936801765964
19,20,0.9501059887049964
20,21,0.9480300835919904
21,22,0.9482581967213115
22,23,0.9447879385498021
23,24,0.9450517687661776
24,25,0.944011911298365
25,26,0.9453261600349606
26,27,0.9451140565646607
27,28,0.9453173918402562
28,29,0.9438142627432964
