,Databases,Cases,Attributes,PCA-K,PCA-BS,PCA-CN
0,minboone.mat,130064,50,4,1,1
1,spect.mat,267,22,7,3,12
2,Banknote.mat,1372,4,2,2,3
3,liver.mat,579,10,4,1,7
4,vertebral.mat,310,6,2,1,5
5,skin.mat,245057,3,1,1,2
6,diabetic.mat,1151,19,5,3,8
7,sonar.mat,208,60,13,6,11
8,spectf.mat,267,44,10,3,6
9,Musk2.mat,6598,166,25,13,6
10,Musk.mat,476,166,23,9,7
11,Immunotherapy.mat,90,7,3,1,1
12,Cryotherapy.mat,90,6,3,1,1
13,qsar.mat,1055,41,11,6,15
14,EggEyeState.mat,14980,14,4,4,5
15,colposcopy.mat,287,62,11,6,9
16,maledon.mat,2600,500,224,1,362
17,climate.mat,540,18,10,1,1
18,telescope.mat,19020,10,3,1,6
19,HTRU2.mat,17898,8,2,2,4
20,blood.mat,748,4,2,2,3
21,plrx.mat,182,10,4,1,6
22,breastCancer.mat,569,30,6,3,5
23,LfW_faces.mat,13233,128,51,55,57
24,theorem.mat,6118,51,13,7,9
