,K,Accuracy
0,1,0.8700986975986975
1,2,0.7905535205535206
2,3,0.8266941391941393
3,4,0.8249664224664226
4,5,0.8173585673585674
5,6,0.8327940577940577
6,7,0.8378235653235654
7,8,0.8204131054131054
8,9,0.8112494912494913
9,10,0.82507733007733
10,11,0.8117338217338217
11,12,0.8089245014245015
12,13,0.8007183557183556
13,14,0.8125518925518926
14,15,0.7910510785510787
15,16,0.8019871794871796
16,17,0.7760205535205535
17,18,0.7928083028083027
18,19,0.7835429385429384
19,20,0.7682468457468457
20,21,0.7479772079772079
21,22,0.7608923483923482
22,23,0.7707824582824582
23,24,0.7870828245828246
24,25,0.7590150590150591
25,26,0.7761416361416362
26,27,0.7547191697191697
27,28,0.7633923483923484
28,29,0.7638919413919414
