,Databases,Accuracy-Original,Accuracy-Kaiser,Accuracy-BS,Accuracy-CN
0,spect.mat,0.64,0.62,0.65,0.69
1,Banknote.mat,1.0,0.86,0.86,0.98
2,liver.mat,0.56,0.61,0.55,0.56
3,vertebral.mat,0.8,0.64,0.62,0.79
4,diabetic.mat,0.63,0.58,0.59,0.6
5,sonar.mat,0.86,0.87,0.84,0.88
6,spectf.mat,0.59,0.65,0.61,0.67
7,Musk.mat,0.89,0.88,0.85,0.83
8,Immunotherapy.mat,0.54,0.56,0.54,0.51
9,Cryotherapy.mat,0.88,0.8,0.78,0.83
10,qsar.mat,qsar.mat,0.83,0.85,0.82,0.84
11,maledon.mat,0.55,0.56,0.55,0.53
12,climate.mat,0.61,0.52,0.49,0.49
13,telescope.mat,0.8,0.68,0.54,0.76
14,blood.mat,0.62,0.61,0.64,0.59
15,plrx.mat,0.53,0.47,0.46,0.54
16,breastCancer.mat,0.96,0.95,0.93,0.95
